ссылка на товар,бренд,наименование,промо цена,регулярная цена,id товара
https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/holistic-suhoy-korm-dlya-shchenkov-s-yagnenkom-i-lososem-2-7-kg.html,Grandin,"Holistic Сухой корм для щенков, с ягненком и лососем, 2,7 кг",3499,3499,140807
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gipoallergennyy-suhoy-korm-dlya-sobak-vseh-porod-yagnenok-11-2kg.html,Grandin,"Hypoallergenic Гипоаллергенный сухой корм для собак всех пород, ягненок, 11,2 кг",8999,8999,135840
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-yagnenkom-14-kg.html,Ownat,"Adult Grain Free Сухой корм беззерновой для взрослых собак, с ягненком, 14 кг",7999,7999,124635
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/holistic-suhoy-korm-dlya-sobak-srednih-i-krupnyh-porod-s-yagnenkom-11-2-kg.html,Grandin,"Holistic Сухой корм для собак средних и крупных пород, с ягненком, 11,2 кг",8949,8949,140805
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-ultra-korm-dlya-sobak-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,Ownat,"Maxi Adult Ultra Сухой корм для собак крупных пород, с курицей и индейкой, 14 кг",7299,7299,117430
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-korm-dlya-vzroslyh-sobak-s-yagnenkom-i-risom-mesh-12kg.html,Aвва,"Natural Ingredients Сухой корм для взрослых собак с ягненком и рисом, 12 кг",4999,4999,117413
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html,Ownat,"Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 3 кг",2865,2865,124642
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_Grain_Free_bezzernovoy_suhoy_korm_dlya_sobak_vseh_porod_yagnenokkartofel.html,Aвва,"Premium Grain Free Adult сухой корм для собак всех пород старше 1 года, с ягненком и картофелем, 12 кг",5999,5999,44117
https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/ownat-ultra-korm-dlya-shchenkov-krupnyh-porod-s-kuricey-i-indeykoy-pak-3kg.html,Ownat,"Maxi Junior Ultra Сухой корм для щенков крупных пород, с курицей и индейкой, 14 кг",8499,8499,117437
https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-puppy-medium-maxi-2-5-kg.html,Farmina,"N&D PUMPKIN сухой корм для щенков средних и крупных пород, с ягненком, тыквой и черникой, 12кг",13499,13499,119939
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/fresh-meat-suhoy-korm-dlya-sobak-melkih-porod-s-kuricey-1-5-kg1.html,Grandin,"Fresh Meat Сухой корм для собак мелких пород, с курицей, 1,5 кг",1459,1459,140803
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_suhoy_korm_dlya_shchenkov_krupnyh_porod_kuritsa.html,Aвва,"Premium Puppy Large сухой корм для щенков крупных пород, с курицей, 3 кг",1399,1399,43590
https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/avva-korm-dlya-shchenkov-krupnyh-porod-s-kuricey-mesh-12kg.html,Aвва,"Natural Ingredients Сухой корм для щенков крупных пород, с курицей, 12 кг",4999,4999,117416
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-dlya-vzroslyh-sobak-vseh-porod-s-chuvstvitelnym-pishchevareniem-indeykai-ris-3kg.html,Aвва,"Premium Sensitive Adult All Breeds Сухой корм для взрослых собак всех пород с чувствительным пищеварением, индейка и рис, 12 кг",4959,4959,91553
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gf-hypo-korm-suhoy-gipoallergennyy-dlya-sobak-s-lososem-3-kg.html,Ownat,"Grain Free Hypoallergenic Корм сухой гипоаллергенный для собак с лососем, 12 кг",8999,8999,155311
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-na-osnove-svezhego-myasa-dlya-vzroslyh-sobak-vseh-porod-s-yagnenkom-i-risom-3-kg.html,Aвва,"Fresh meat Корм сухой на основе свежего мяса для взрослых собак всех пород, с ягненком и рисом, 12 кг",5689,5689,163798
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/vet-life-natural-diet-dog-gastrointestinal.html,Farmina,"Vet Life Gastrointestinal диетический влажный корм для собак при заболеваниях ЖКТ, 300г",459,459,120016
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-dlya-sobak-s-yagnenkom-i-indeykoy.html,Grandorf,"Корм сухой для собак средних и крупных пород, с ягненком и индейкой, 10 кг",8995,8995,153898
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/vet-life-natural-diet-dog-ultrahypo-2-kg.html,Farmina,"Vet Life UltraHypo диетический сухой корм для собак, гипоаллергенный, 2кг",3899,3899,120036
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/grandin-kons-200g-dlya-sobak-s-yagnenkom-i-lnyanym-maslom.html,Grandin,"Adult Влажный корм (консервы) для взрослых собак всех пород, с ягненком и льняным маслом, 400 гр.",219,219,137565
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-classic-korm-sukhoy-dlya-sobak-s-utkoy.html,Ownat,"Adult Classic сухой корм для собак, с уткой, 12 кг",5899,5899,155069
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/vet-life-natural-diet-dog-hypoallergenic-fish-potato-2-kg.html,Farmina,"Vet Life Hypoallergenic диетический сухой корм для собак, гипоаллергенный, 2кг",3429,3429,120030
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-melkih-porod-yagnenok-s-risom-1kg.html,Grandorf,"Сухой корм для взрослых собак мелких пород, ягненок с индейкой, 3 кг",3445,3445,112538
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/avva-premium-suh-2kg-dlya-sobak-vseh-porod-yagnenok-i-ris.html,Aвва,"Premium Adult Сухой корм для собак всех пород, ягненок и рис, 12 кг",4399,4399,148088
https://4lapy.ru/catalog/sobaki/korm-sobaki/holistik/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-adult-medium-maxi-2-5-kg.html,Farmina,"N&D PUMPKIN сухой корм для собак средних и крупных пород, с ягненком, тыквой и черникой, 12кг",12999,12999,119932
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/vet-life-natural-diet-dog-gastro-intestinal-2-kg.html,Farmina,"Vet Life Gastrointestinal диетический сухой корм для собак, при заболеваниях ЖКТ, с курицей, 2кг",2975,2975,120034
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Avva_Premium_suhoy_korm_dlya_sobak_krupnyh_porod_kuritsa.html,Aвва,"Premium Adult Large сухой корм для собак крупных пород старше 1 года, с курицей, 12 кг",4599,4599,45767
